id,track_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3svutPEeuWU4nFlEIZdWF0,"Is Your Love in Vain? - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.407,0.421,0,-11.267,1,0.0246,0.377,3.2e-05,0.324,0.426,78.029,4
2jaHpMuTVaEM2kFtAmkOHi,"Going, Going, Gone - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.394,0.417,0,-9.533,1,0.033,0.334,3.36e-06,0.0837,0.508,76.778,4
1cMxczdgjLjJ3E86agkEyj,"One of Us Must Know (Sooner or Later) - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.569,0.666,5,-8.332,1,0.0301,0.0655,6.74e-06,0.578,0.748,121.134,4
7BdQwFXpHTz0MxchFE5Eu3,"Blowin' in the Wind - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.49,0.336,2,-13.075,1,0.0354,0.637,0.00301,0.722,0.299,136.996,4
6DQwi17gMLwLh2KtJeuhkC,"Just Like a Woman - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.523,0.414,4,-10.121,1,0.0297,0.379,9.17e-05,0.977,0.441,112.584,3
2tepYILDTwsbozETRuDCxJ,"Oh, Sister - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.663,0.522,5,-11.293,1,0.0486,0.518,0.00936,0.113,0.482,128.798,4
48pQrtqeKSliWzFkNRzcWX,"Simple Twist of Fate - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.59,0.409,5,-12.63,1,0.0365,0.408,0.00642,0.115,0.604,80.387,4
0x7T3Zz7LKKDvo4LfM1s9d,"You're a Big Girl Now - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.558,0.433,10,-10.288,1,0.0311,0.48,0.00713,0.66,0.668,129.61,4
0ujNfDTSnXuafEYhMLng6u,"All Along the Watchtower - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.519,0.749,9,-9.004,0,0.0458,0.151,0.00027,0.156,0.653,130.914,4
3QbUu1nRncyUNeyEwta79o,"I Want You - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.375,0.13,4,-17.471,1,0.0559,0.918,0.0,0.701,0.188,86.53,4
5Ji10vOjmdDdZchfSBsIyh,"All I Really Want to Do - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.481,0.449,1,-9.894,1,0.0329,0.29,2.65e-06,0.115,0.405,131.694,4
5QtuEMURZoN1jTOyS52aXx,"Tomorrow Is a Long Time - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.628,0.391,1,-11.761,1,0.0312,0.632,4.08e-05,0.721,0.419,124.976,4
6CCy4rXe4BvLKnlxq8A6zI,"Don't Think Twice, It's All Right - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.641,0.635,0,-8.003,1,0.0454,0.621,0.000263,0.696,0.904,80.465,4
06A3hJMrhNLtxWxfkJhp08,"Band Introductions - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.614,0.223,7,-17.88,1,0.188,0.498,0.0011,0.251,0.407,90.678,4
7mSVoluFzHd6d7mCdhsIW5,"It's Alright, Ma (I'm Only Bleeding) - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.485,0.667,2,-7.785,1,0.149,0.476,0.0,0.121,0.433,102.13,4
3PhmdkC1k9Dl7XSe5rE8D0,"Forever Young - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.31,0.672,5,-10.327,1,0.0936,0.176,0.00231,0.0825,0.507,139.305,4
3FzmbYBraeOuPbvrpbudt3,"The Times They Are A-Changin' - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.308,0.546,5,-9.143,1,0.0333,0.0989,2.76e-05,0.726,0.439,159.839,3
4ZE276Gmphq8bj40rF50uz,"A Hard Rain's A-Gonna Fall - Live at Nippon Budokan Hall, Tokyo, Japan - March 1, 1978",The Complete Budokan 1978 (Live),0.475,0.671,4,-10.242,1,0.0305,0.0305,0.869,0.683,0.892,112.863,4
4N4ebNRyvd8flnrTB3afNl,"Love Her With A Feeling - Live at Nippon Budokan Hall, Tokyo, Japan - March 1, 1978",The Complete Budokan 1978 (Live),0.452,0.577,4,-9.159,1,0.0374,0.453,8.92e-06,0.47,0.792,114.751,4
4MA3E7zjzApq1zHVYnqMHx,"Mr. Tambourine Man - Live at Nippon Budokan Hall, Tokyo, Japan - March 1, 1978",The Complete Budokan 1978 (Live),0.446,0.669,0,-9.43,1,0.0328,0.0666,0.316,0.107,0.925,145.157,4
2Tj7vaqet4a8toDLIqHpN4,"I Threw It All Away - Live at Nippon Budokan Hall, Tokyo, Japan - March 1, 1978",The Complete Budokan 1978 (Live),0.518,0.484,0,-10.127,1,0.0273,0.44,0.00879,0.661,0.439,118.656,4
7hvAesd78Cd5JAow9JbgsX,"Love Minus Zero / No Limit - Live at Nippon Budokan Hall, Tokyo, Japan - March 1, 1978",The Complete Budokan 1978 (Live),0.53,0.566,2,-11.151,1,0.0374,0.209,0.021,0.103,0.778,141.347,4
7c8FslXKdYBLkyfJ3wQmDz,"Shelter from the Storm - Live at Nippon Budokan Hall, Tokyo, Japan - March 1, 1978",The Complete Budokan 1978 (Live),0.576,0.486,5,-8.598,1,0.0561,0.42,0.0,0.675,0.761,159.436,4
6nTkPxryaV4BvqfJ2ByRre,"Girl from the North Country - Live at Nippon Budokan Hall, Tokyo, Japan - March 1, 1978",The Complete Budokan 1978 (Live),0.216,0.0693,4,-18.886,1,0.0436,0.95,0.117,0.504,0.0907,74.515,5
7rsOjT90NZE3cp3h9mZZFA,"Ballad of a Thin Man - Live at Nippon Budokan Hall, Tokyo, Japan - March 1, 1978",The Complete Budokan 1978 (Live),0.547,0.57,11,-8.563,0,0.0564,0.356,2.73e-05,0.943,0.6,99.131,4
3EEKVUZ1Pr3B0vdc7hguKv,"Maggie's Farm - Live at Nippon Budokan Hall, Tokyo, Japan - March 1, 1978",The Complete Budokan 1978 (Live),0.501,0.706,2,-7.869,1,0.0427,0.181,0.000634,0.114,0.877,125.326,4
7sj48lSbTIaG2VB7pxnffO,"One More Cup Of Coffee (Valley Below) - Live at Nippon Budokan Hall, Tokyo, Japan - March 1, 1978",The Complete Budokan 1978 (Live),0.696,0.454,7,-10.481,0,0.0645,0.596,1.87e-05,0.508,0.749,91.272,4
72lTUEgpYOqQWZDBMMJio6,"Like a Rolling Stone - Live at Nippon Budokan Hall, Tokyo, Japan - March 1, 1978",The Complete Budokan 1978 (Live),0.408,0.64,0,-7.908,1,0.027,0.162,0.000452,0.112,0.38,97.339,4
24CeuA5Kf2HOCRI0JbLkr0,"I Shall Be Released - Live at Nippon Budokan Hall, Tokyo, Japan - March 1, 1978",The Complete Budokan 1978 (Live),0.528,0.425,4,-8.493,1,0.0281,0.409,3.93e-05,0.123,0.623,75.99,4
7u8UWIVBKnHvz8rB09ba4z,"Is Your Love in Vain? - Live at Nippon Budokan Hall, Tokyo, Japan - March 1, 1978",The Complete Budokan 1978 (Live),0.428,0.373,0,-10.127,1,0.0246,0.568,0.00014,0.296,0.321,78.314,4
6WimqiDUSMiO2YsJNQV2nO,"Going, Going, Gone - Live at Nippon Budokan Hall, Tokyo, Japan - March 1, 1978",The Complete Budokan 1978 (Live),0.352,0.455,0,-8.218,1,0.0333,0.25,1.12e-05,0.691,0.458,152.085,4
74dpII8VCRmRBzhidhFgOM,"One of Us Must Know (Sooner or Later) - Live at Nippon Budokan Hall, Tokyo, Japan - March 1, 1978",The Complete Budokan 1978 (Live),0.606,0.61,5,-8.223,1,0.0272,0.111,3.01e-05,0.598,0.84,120.861,4
1KrTCdtRQPNevJ0NscglMc,"Blowin' in the Wind - Live at Nippon Budokan Hall, Tokyo, Japan - March 1, 1978",The Complete Budokan 1978 (Live),0.482,0.323,2,-13.111,1,0.0358,0.567,0.0103,0.763,0.304,143.937,4
41aPneI02mRlPB09vXA7Vg,"Just Like a Woman - Live at Nippon Budokan Hall, Tokyo, Japan - March 1, 1978",The Complete Budokan 1978 (Live),0.491,0.391,4,-10.68,1,0.0301,0.483,6.21e-06,0.711,0.472,109.641,3
7BEqb3bGmpYm3vSQl6PSWG,"Oh, Sister - Live at Nippon Budokan Hall, Tokyo, Japan - March 1, 1978",The Complete Budokan 1978 (Live),0.666,0.394,7,-12.972,1,0.054,0.602,0.0255,0.125,0.521,125.519,4
6lpup8Sbj1eXv2Vhkllr4Y,"I Don't Believe You (She Acts Like We Never Have Met) - Live at Nippon Budokan Hall, Tokyo, Japan - March 1, 1978",The Complete Budokan 1978 (Live),0.638,0.399,4,-12.776,1,0.0304,0.421,0.00172,0.506,0.703,104.097,4
4zQ8j0FkCU6SgCBv9Oklls,"You're a Big Girl Now - Live at Nippon Budokan Hall, Tokyo, Japan - March 1, 1978",The Complete Budokan 1978 (Live),0.477,0.304,10,-12.463,1,0.033,0.454,0.00437,0.137,0.602,133.296,4
0MZXmb51qtaj4oEJG31u09,"All Along the Watchtower - Live at Nippon Budokan Hall, Tokyo, Japan - March 1, 1978",The Complete Budokan 1978 (Live),0.518,0.733,9,-8.06,0,0.0353,0.0344,0.000499,0.55,0.814,129.48,4
43Wx5R35qqNVNOuk6GrRKR,When I Paint My Masterpiece,Shadow Kingdom,0.574,0.405,7,-10.373,1,0.0417,0.598,7.38e-06,0.561,0.396,121.699,4
1wPQk8FwuXh7nXS8ytkR6p,Most Likely You Go Your Way (And I'll Go Mine),Shadow Kingdom,0.669,0.479,7,-11.13,1,0.0446,0.634,0.0,0.174,0.629,118.888,4
5zP9ZGcH0uaHMe06I5vU5h,Queen Jane Approximately,Shadow Kingdom,0.559,0.346,2,-12.51,1,0.0299,0.686,4.2e-06,0.34,0.291,103.632,4
5EUtFLXes038LFd4InLWeX,I'll Be Your Baby Tonight,Shadow Kingdom,0.362,0.448,4,-8.961,1,0.0301,0.693,0.0,0.185,0.367,146.963,4
7naITqWKtxEbiTHehogniH,Just Like Tom Thumb's Blues,Shadow Kingdom,0.674,0.404,4,-11.445,1,0.0386,0.757,2.81e-06,0.14,0.476,111.603,4
0wSB0wlA2QFNyLl8QSfYtV,Tombstone Blues,Shadow Kingdom,0.433,0.216,3,-15.828,1,0.237,0.73,0.0,0.264,0.379,80.868,5
5Mo7kcbG60YQ0hIMDhgffk,To Be Alone with You,Shadow Kingdom,0.556,0.483,4,-10.017,1,0.0424,0.733,0.0,0.415,0.418,127.119,4
7otGDRpzw5bouxUwI5m08I,What Was It You Wanted,Shadow Kingdom,0.394,0.225,6,-13.038,0,0.0407,0.898,1.18e-05,0.5,0.192,143.519,4
3jDuXdGHAvCFOuCTbwYUhw,Forever Young,Shadow Kingdom,0.566,0.315,2,-13.211,1,0.034,0.737,0.0,0.212,0.136,97.302,4
219byIl0piDNkLQ4oYlm1l,Pledging My Time,Shadow Kingdom,0.445,0.304,2,-10.618,0,0.0455,0.594,0.0,0.632,0.237,99.258,3
3Svsq93gpeXiLrmntFOOYQ,The Wicked Messenger,Shadow Kingdom,0.336,0.385,0,-11.126,1,0.0468,0.425,2.18e-06,0.252,0.391,179.165,4
55FxZy3uzoCIxWR4zYZIjX,Watching the River Flow,Shadow Kingdom,0.631,0.595,9,-7.67,1,0.0357,0.449,1.01e-05,0.476,0.676,115.78,4
3xC7dN9vM4BsTSN5SvB2cT,"It's All Over Now, Baby Blue",Shadow Kingdom,0.364,0.291,1,-11.602,1,0.0456,0.801,0.0,0.354,0.48,166.294,3
7deiZdANNnTmuzetgFqNE5,Sierra's Theme,Shadow Kingdom,0.649,0.291,10,-12.994,1,0.0339,0.718,0.0603,0.123,0.485,116.588,4
2ihuB8FpQOg8SSv2Vs3qUl,Love Sick - 2022 Remix,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.529,0.439,11,-9.092,0,0.0278,0.62,0.000442,0.204,0.328,72.842,4
6i2wVBUAzmKbUVURpE2RRh,Dirt Road Blues - 2022 Remix,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.586,0.933,7,-5.334,1,0.0488,0.0249,0.00197,0.181,0.619,98.333,4
0sjFBMLwC03vm88eZSfDWT,Standing in the Doorway - 2022 Remix,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.416,0.461,4,-9.744,1,0.0323,0.759,0.00251,0.0696,0.185,97.62,3
2oRaRvE7AIUapaV3mOSpga,Million Miles - 2022 Remix,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.414,0.653,3,-7.793,0,0.0522,0.449,0.0,0.113,0.527,90.309,4
5l1rKZ4wuTdsCJRdrNvtQ0,Tryin' to Get to Heaven - 2022 Remix,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.508,0.589,3,-7.8,1,0.0267,0.796,0.000138,0.127,0.567,93.278,4
0XSHdFlKTJTCzF0DkWUbPP,'Til I Fell in Love with You - 2022 Remix,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.482,0.84,5,-6.494,0,0.0683,0.392,0.00185,0.236,0.726,104.257,4
2LvwMMepsQ4wooL5KHJ7uH,Not Dark Yet - 2022 Remix,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.53,0.561,4,-7.764,1,0.0264,0.439,0.00169,0.121,0.32,126.418,4
1n2j69e1rVCKXK8qYYQwDe,Cold Irons Bound - 2022 Remix,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.56,0.877,5,-6.627,0,0.0437,0.0106,0.0474,0.139,0.735,134.951,4
2TMFbqJFY1topYDHwuXEwq,Make You Feel My Love - 2022 Remix,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.458,0.316,1,-8.967,1,0.0268,0.742,7.26e-05,0.0986,0.255,143.34,4
2KfEmclVP2geEL4pVY7G6D,Can't Wait - 2022 Remix,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.628,0.86,6,-6.422,1,0.0452,0.141,0.0279,0.197,0.643,141.826,4
35kzdxWmkruc1oIdHUfOwX,Highlands - 2022 Remix,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.62,0.504,11,-8.54,0,0.0337,0.791,7.76e-05,0.135,0.543,122.014,4
5ipnIvGG89dugWcsqathgR,The Water Is Wide,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.543,0.203,2,-12.846,1,0.0305,0.633,0.0112,0.0968,0.156,83.269,4
5MA4c73AS8wZZzGiNTvxnM,Dreamin' of You,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.524,0.572,10,-7.362,1,0.0293,0.742,0.0,0.0828,0.672,143.358,4
6sxUrzQYHqEaEDDMrPqlYY,Red River Shore - Version 1,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.606,0.516,0,-8.947,1,0.0253,0.781,2.74e-06,0.115,0.366,91.234,4
26dOvDxJ5hRYPiZSvv5Qho,Love Sick - Version 1,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.458,0.38,2,-10.292,1,0.0378,0.617,0.0523,0.115,0.211,78.495,4
6TahlrQfjIPSXqEuib13BO,'Til I Fell in Love with You - Version 1,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.604,0.593,8,-5.983,0,0.0279,0.425,0.0496,0.361,0.123,114.878,4
31qkY1N6H9LktiYGYoveby,Not Dark Yet - Version 1,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.573,0.663,10,-8.153,1,0.0252,0.214,0.325,0.135,0.482,150.477,4
3ML6APawucM1glsUzlcKeH,Can't Wait - Version 1,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.528,0.738,11,-6.724,0,0.046,0.0209,7.18e-05,0.0624,0.518,164.474,4
7wG7opF4PiB0wVi833D6fM,Dirt Road Blues - Version 1,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.47,0.88,4,-5.655,1,0.0479,0.105,0.000186,0.155,0.896,174.948,4
2kbkv5e4OjWEQmLxzcIXm0,Mississippi - Version 1,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.528,0.795,4,-7.544,1,0.0642,0.095,3.52e-05,0.106,0.592,166.666,4
6g1C6wTLP4ezbzlsBnJwRL,'Til I Fell in Love with You - Version 2,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.429,0.832,4,-5.845,0,0.0428,0.29,0.0246,0.133,0.784,200.574,4
4sOKFDkrR0Q2F3ryx87KrM,Standing in the Doorway - Version 1,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.538,0.587,4,-9.312,1,0.0269,0.199,0.00193,0.185,0.174,106.826,3
0WOeAAdgfHMR1zm63yDwqR,Tryin' to Get to Heaven - Version 1,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.48,0.695,4,-7.858,1,0.0308,0.399,0.000253,0.113,0.674,137.089,4
01DQOJWQ1vbh6So7FTxnKf,Cold Irons Bound,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.587,0.851,10,-8.194,0,0.075,0.0264,0.07,0.215,0.438,134.893,4
0pYkHdtmbRFdTjqn85ZHh6,Love Sick - Version 2,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.481,0.264,4,-10.736,0,0.029,0.521,0.00354,0.12,0.197,140.855,4
6yBuLiZMWvVXOxkE2Mb5Cn,Dirt Road Blues - Version 2,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.662,0.817,4,-7.633,0,0.0856,0.133,2.35e-05,0.324,0.7,100.145,4
7850NApXLieGPqT54yT3f0,Can't Wait - Version 2,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.712,0.693,7,-8.342,0,0.0421,0.255,0.206,0.125,0.868,134.679,4
3xk7nD1eAUCOuglK4us1ft,Red River Shore - Version 2,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.417,0.5,0,-6.96,1,0.0281,0.832,0.000328,0.134,0.342,86.404,4
6t2rZ6YJ3IcDYspMQ5r3DT,Marchin' to the City,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.628,0.613,9,-7.456,1,0.0476,0.154,0.00113,0.244,0.328,113.257,4
78fE6GJay1PbThXWGXOnM9,Make You Feel My Love - Take 1,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.472,0.197,1,-9.464,1,0.0342,0.826,0.0293,0.144,0.146,74.1,1
6rpfrk3qyZMWgbd0Zxbc3V,Mississippi - Version 2,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.532,0.756,4,-6.242,1,0.0362,0.317,0.0,0.182,0.678,105.479,4
3cuxthxRwVsdn6eLg2gR6q,Standing in the Doorway - Version 2,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.526,0.518,4,-6.141,1,0.0248,0.652,0.00107,0.097,0.237,98.462,4
62iRkWol0VZvWNWbUuN2xr,'Til I Fell in Love with You - Version 3,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.431,0.781,5,-5.883,0,0.0579,0.506,6.8e-05,0.311,0.626,101.519,4
6vFEyzDylKYBgZyqzeuZ31,Not Dark Yet - Version 2,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.499,0.427,4,-9.557,1,0.0282,0.264,7.94e-05,0.178,0.304,128.924,4
3jK3hzXh4WX1aiVpoNzufU,Tryin' to Get to Heaven - Version 2,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.613,0.578,3,-7.501,1,0.0237,0.679,0.0128,0.13,0.592,95.637,4
3BalcGKWPsPGLSurA8P53V,Highlands,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.612,0.5,11,-7.881,0,0.0304,0.766,0.0124,0.0947,0.535,131.346,4
78wDov9kZtLHdf1asncvXj,"Love Sick - Live in Birmingham, England - June 24, 1998","Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.37,0.554,2,-10.964,1,0.0853,0.109,0.404,0.881,0.452,83.417,4
1IbDR4wkTHLJyMbhaNVjrO,"Can't Wait - Live in Nashville, Tennessee - February 6, 1999","Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.385,0.849,1,-8.335,1,0.0948,0.461,0.24,0.969,0.503,168.776,4
12PSQigRHs3crrxFB5RSMK,"Standing in the Doorway - Live in London, England - October 6, 2000","Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.326,0.606,1,-8.279,0,0.0309,0.621,0.0614,0.821,0.396,182.491,3
1dt6GQ0QVmJVRAna3flsak,"Million Miles - Live in Atlantic City, New Jersey - January 31, 1998","Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.348,0.708,6,-7.412,1,0.101,0.681,0.0,0.977,0.497,99.535,4
2Hb2c4sTIhls44VcZLcNsA,"Tryin' to Get to Heaven - Live in Birmingham, England - September 20, 2000","Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.548,0.265,0,-17.383,1,0.0343,0.871,0.000502,0.702,0.226,130.438,4
6ejyBDMuapCzZAGGjlqcbP,"'Til I Fell in Love with You - Live in Buenos Aires, Argentina - April 5, 1998","Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.415,0.874,5,-4.623,0,0.0718,0.00585,0.0,0.183,0.881,118.093,4
6JQrvpwcZpxu3EdJfsJ1dP,"Not Dark Yet - Live in Sheffield, England - September 22, 2000","Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.565,0.488,7,-10.322,1,0.0292,0.486,0.00404,0.68,0.32,131.277,4
08Yi8TRUcn2AyCWwpMqe97,"Cold Irons Bound - Live in Oslo, Norway - May 19, 2000","Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.329,0.745,10,-7.95,0,0.101,0.0179,0.000127,0.354,0.305,148.44,4
1QXiAYvBnri3te7LvBYOAN,"Make You Feel My Love - Live in Los Angeles, California - May 21, 1998","Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.361,0.474,0,-9.127,1,0.0406,0.66,0.000131,0.97,0.407,150.664,4
